shape_0,python_time_us,mojo_time_us
4096,3.31,2.42
5555,3.96,2.79
8192,3.93,2.59
16384,3.78,2.86
32768,3.52,2.65
65536,3.68,2.79
131072,3.84,2.84
222222,4.4,2.96
262144,3.84,2.95
524288,4.25,3.57
1048576,5.53,3.3
2097152,8.14,4.22
4194304,12.23,6.69
8388608,21.15,10.61
16777216,36.05,18.85
33554432,66.88,35.46
67108864,122.79,68.39
134217728,252.61,134.82
