shape_0,shape_1,python_time_us,mojo_time_us
256,128,5.88,6.82
4096,512,13.56,11.27
4096,1024,16.86,22.76
4096,1536,22.51,30.41
4096,2048,22.77,38.73
4096,2560,32.98,44.43
4096,3072,34.5,51.84
4096,3584,37.21,55.58
4096,4096,37.47,63.42
4096,4608,54.77,68.18
4096,5120,56.27,75.44
4096,5632,57.91,80.23
4096,6144,59.77,88.95
4096,6656,60.44,94.42
4096,7168,62.9,101.71
4096,7680,63.98,105.87
4096,8192,68.06,115.23
8192,8192,126.33,213.97
