shape_0,shape_1,python_time_us,mojo_time_us
256,128,5.79,6.55
4096,512,13.83,11.53
4096,1024,16.94,23.32
4096,1536,22.63,30.51
4096,2048,23.08,39.07
4096,2560,33.53,44.3
4096,3072,35.57,52.05
4096,3584,37.53,57.02
4096,4096,37.02,64.51
4096,4608,54.73,69.57
4096,5120,56.31,76.85
4096,5632,58.12,81.69
4096,6144,59.23,89.31
4096,6656,60.38,94.19
4096,7168,63.6,102.4
4096,7680,64.01,104.49
4096,8192,67.56,116.01
8192,8192,127.08,214.13
