shape_0,shape_1,python_time_us,mojo_time_us
256,128,5.9,7.73
4096,512,14.11,12.1
4096,1024,16.96,23.56
4096,1536,22.68,30.77
4096,2048,23.1,38.46
4096,2560,33.39,44.86
4096,3072,35.48,51.39
4096,3584,37.05,56.44
4096,4096,37.22,63.91
4096,4608,54.41,69.17
4096,5120,56.04,75.48
4096,5632,57.85,81.78
4096,6144,59.42,89.4
4096,6656,61.04,94.64
4096,7168,63.27,102.12
4096,7680,63.58,107.59
4096,8192,68.37,115.88
8192,8192,126.9,214.39
