shape_0,python_time_us,mojo_time_us
4096,3.36,2.39
5555,3.8,2.95
8192,3.95,2.87
16384,3.92,2.66
32768,4.13,2.91
65536,4.05,2.65
131072,4.17,2.71
222222,4.63,2.88
262144,4.31,2.38
524288,4.7,2.51
1048576,5.67,2.62
2097152,7.89,4.22
4194304,12.59,6.47
8388608,20.58,10.22
16777216,35.49,18.77
33554432,65.16,35.2
67108864,127.12,68.33
134217728,241.2,134.7
