trans,M,N,K,reference_GiBps,candidate_GiBps,speedup
TN,1,8192,28672,3435.95,2801.16,0.82
TN,1,6144,6144,2633.3,2066.86,0.78
TN,1,4096,4096,1804.11,1773.41,0.98
TN,2,16384,16384,3422.45,2910.06,0.85
