trans,M,N,K,reference_GiBps,candidate_GiBps,speedup
TN,1,8192,28672,3435.95,3430.83,1.0
TN,1,6144,6144,2633.3,2564.18,0.97
TN,1,4096,4096,1804.11,1888.0,1.05
TN,2,16384,16384,3422.45,3402.42,0.99
