trans,M,N,K,reference_GiBps,candidate_GiBps,speedup
TN,1,8192,28672,3435.95,3381.0,0.98
TN,1,6144,6144,2633.3,2406.27,0.91
TN,1,4096,4096,1804.11,1729.27,0.96
TN,2,16384,16384,3422.45,3437.74,1.0
