trans,M,N,K,reference_GiBps,candidate_GiBps,speedup
TN,1,8192,28672,969.72,957.96,0.99
TN,1,6144,6144,870.16,887.96,1.02
TN,1,4096,4096,603.46,748.15,1.24
TN,2,16384,16384,592.08,522.58,0.88
