trans,M,N,K,reference_GiBps,candidate_GiBps,speedup
TN,1,8192,28672,3384.14,2891.3,0.85
TN,1,6144,6144,4125.24,2662.2,0.65
TN,1,4096,4096,2493.24,1863.25,0.75
TN,2,16384,16384,3401.27,3146.61,0.93
