trans,M,N,K,reference_GiBps,candidate_GiBps,speedup
TN,1,8192,28672,3384.14,2418.04,0.71
TN,1,6144,6144,4125.24,2291.8,0.56
TN,1,4096,4096,2493.24,1762.42,0.71
TN,2,16384,16384,3401.27,2515.2,0.74
