trans,M,N,K,reference_GiBps,candidate_GiBps,speedup
TN,1,8192,28672,3384.14,2902.03,0.86
TN,1,6144,6144,4125.24,2910.03,0.71
TN,1,4096,4096,2493.24,1901.78,0.76
TN,2,16384,16384,3401.27,3496.87,1.03
