trans,M,N,K,reference_GiBps,candidate_GiBps,speedup
TN,1,8192,28672,3384.14,3409.45,1.01
TN,1,6144,6144,4125.24,3864.58,0.94
TN,1,4096,4096,2493.24,2370.38,0.95
TN,2,16384,16384,3401.27,3488.57,1.03
