trans,M,N,K,reference_GiBps,candidate_GiBps,speedup
TN,1,8192,28672,3384.14,3412.37,1.01
TN,1,6144,6144,4125.24,3862.46,0.94
TN,1,4096,4096,2493.24,2383.02,0.96
TN,2,16384,16384,3401.27,3470.18,1.02
