trans,M,N,K,reference_GiBps,candidate_GiBps,speedup
TN,1,8192,28672,3384.14,3411.58,1.01
TN,1,6144,6144,4125.24,4039.94,0.98
TN,1,4096,4096,2493.24,2334.97,0.94
TN,2,16384,16384,3401.27,3403.12,1.0
