trans,M,N,K,reference_GiBps,candidate_GiBps,speedup
TN,1,8192,28672,3384.14,3363.84,0.99
TN,1,6144,6144,4125.24,3853.99,0.93
TN,1,4096,4096,2493.24,2366.79,0.95
TN,2,16384,16384,3401.27,3473.07,1.02
