trans,M,N,K,reference_GiBps,candidate_GiBps,speedup
TN,1,8192,28672,3491.33,3283.32,0.94
TN,1,6144,6144,3858.22,4118.0,1.07
TN,1,4096,4096,2352.54,2749.8,1.17
TN,2,16384,16384,3412.17,3335.7,0.98
