trans,M,N,K,reference_GiBps,candidate_GiBps,speedup
TN,1,8192,28672,3491.33,2869.87,0.82
TN,1,6144,6144,3858.22,2673.33,0.69
TN,1,4096,4096,2352.54,1680.93,0.71
TN,2,16384,16384,3412.17,3318.44,0.97
