trans,M,N,K,reference_GiBps,candidate_GiBps,speedup
TN,1,8192,28672,2869.87,2710.75,0.94
TN,1,6144,6144,2673.33,2705.21,1.01
TN,1,4096,4096,1680.93,1823.05,1.08
TN,2,16384,16384,3318.44,2964.04,0.89
