trans,M,N,K,reference_GiBps,candidate_GiBps,speedup
TN,1,8192,28672,3283.32,2710.75,0.83
TN,1,6144,6144,4118.0,2705.21,0.66
TN,1,4096,4096,2749.8,1823.05,0.66
TN,2,16384,16384,3335.7,2964.04,0.89
